id,question,answer
7902,"Which film came out earlier, Kya Yehi Pyaar Hai or Caloola, Or The Adventures Of A Jackeroo?","Kya Yehi Pyar Hai( क्या यही प्यार है?) is a 2002 Indian romantic film directed by K. Murali Mohan Rao, starring Jackie Shroff, Aftab Shivdasani and Amisha Patel in lead roles, with cinematography by Chota K. Naidu."
7903,Which country the performer of song A Change Of Heart (Song) is from?,"Bernard Joseph Butler (born 1 May 1970) is an English musician, songwriter and record producer."
7904,"Who was born later, Chung Yoo-Suk or Ole Kristian Kjølholdt?",Ole Kristian Kjølholdt( born 8 September 1950) is a Norwegian politician for the Conservative Party.
7905,"Who is Dietrich Ix, Count Of Mark's paternal grandfather?",Dietrich was the second son of Count Adolf III of the Marck and Margaret of Jülich.
7906,"Where did Charles James Irwin Grant, 6Th Baron De Longueuil's father die?","Charles James Irwin Grant, only son of Charles William Grant, 5th Baron de Longueuil and Caroline Coffin, was born in Montreal on 1 April 1815."
7907,Did Michael Demond Davis and Philippe Gautier share the same nationality?,"Michael DeMond Davis (January 1939 – November 13, 2003) was a Pulitzer prize-nominated journalist and a pioneer in African-American journalism, opening the doors for many African-American writers."
7908,Where did Johan Ludvig Heiberg (Poet)'s father die?,"Johan Ludvig Heiberg (14 December 1791 – 25 August 1860), Danish poet, playwright, literary critic, literary historian son of the political writer Peter Andreas Heiberg (1758–1841),"
7909,Who is Euphemia Of Masovia's paternal grandfather?,"She was the third daughter of Siemowit IV, Duke of Masovia and Alexandra, daughter of Algirdas, Grand Duke of Lithuania and sister of King Władysław II Jagiełło of Poland, and thus a Polish princess member of the House of Piast in the Masovian branch."
7910,"Which film whose director is younger, Salón México or Mano Po?","It was named Best Picture, Best Actor( for Eddie Garcia), Best Actress( for Ara Mina), Best Supporting Actress( for Kris Aquino) and Best Director( for Joel Lamangan)."
7911,What is the date of death of the director of film Attack Of The Normans?,"Giuseppe Vari (9 March 1924 – 1 October 1993) was an Italian film director, editor and screenwriter."
7912,What nationality is the director of film Ramata (Film)?,Ramata is a 2007 feature-length fiction film directed by Léandre-Alain Baker and starring the model Katoucha Niane in the title role.
7913,Where was the place of death of the director of film The Mighty Peking Man?,"The film was directed by Ho Meng Hua and produced by Runme Shaw; the special effects were directed by Sadamasa Arikawa, with Koichi Kawakita as assistant FX director, who would move on to the Heisei Godzilla movies, the Heisei Gamera trilogy and the Yonggary remake."
7914,What is the place of birth of the director of film White Deer Plain (Film)?,White Deer Plain  is a 2011 Chinese drama film directed by Wang Quan'an and based on the novel of the same name by Chen Zhongshi.
7915,Who is the paternal grandfather of Zainal Rashid Al-Mu'Adzam Shah I Of Kedah?,Almarhum Sultan Ahmad Tajuddin Halim Shah II (1803 – 13 March 1854) was the 23rd Sultan of Kedah.
7916,Who was born first out of Halldóra Eldjárn and Merle Anthony?,Halldóra Eldjárn( 24 November 1923 – 21 December 2008) was the wife of Icelandic President Kristján Eldjárn and First Lady of Iceland from 1968 to 1980.
7917,Was Richard Cory-Wright or Huang Wenyong born first?,"Huang Wenyong( 25 July 1952 – 20 April 2013) was a Malaysia- born Singaporean former actor and former teacher of Chinese descent as local media and fellow referred to as"" Ah Ge""( senior actor) due to his status."
7918,"Which film came out earlier, Accident On Hill Road or Magalir Mattum?","Accident on Hill Road is a 2009 Bollywood film, directed by Mahesh Nair and produced by Nari Hira, starring Farooq Sheikh, Abhimanyu Singh, Celina Jaitly."
7919,"Which film has the director born later, Chi Lavora È Perduto or Arangetram (Film)?","Arangetram is a 1973 Tamil- language drama film directed by K. Balachander, starring Prameela, Sivakumar, Kamal Haasan, S. V. Subbaiah and M. N. Rajam in prominent roles."
7920,Who is the maternal grandfather of Matilda Of Hainaut?,"She was the elder daughter of William II of Villehardouin, Prince of Achaea, and of his third wife Anna, the second daughter of Michael II Komnenos Doukas, the despot of Epiros."
7921,"When was Mary, Crown Princess Of Denmark's husband born?","Mary, Crown Princess of Denmark, Countess of Monpezat, (Mary Elizabeth; ""née"" Donaldson; born 5 February 1972) is the wife of Frederik, Crown Prince of Denmark."
7922,Where was the place of death of the director of film Daybreak (1918 Film)?,"Capellani, along with his brother Paul, studied acting under Charles le Bargy at the Conservatoire de Paris."
7923,"Are both movies, Love And Hate (1924 Film) and Dark Blue World, from the same country?","Dark Blue World is a 2001 film by Czech director Jan Svěrák, the Academy Award- winning director of"" Kolya"", about Czech pilots who fought for the British Royal Air Force( RAF) during the Second World War."
7924,"Which film has the director born first, Killer: Dead Or Alive or Adultery: A User'S Guide?","Scott Shaw( born September 23, 1958 in Los Angeles, California) is an American author, martial artist, and filmmaker."
7925,Who is Lord Xinling's paternal grandfather?,"The son of King Zhao of Wei, and the half-brother of King Anxi of Wei, he served the State of Wei as Senior General."
7926,"Who was born later, Mory Correa or Odd Narud?","Mory Correa( born July 21, 1979 in Versailles) is a French basketball player who played for French Pro -A league clubs Châlons- en- Champagne and Besançon during the 2004- 2007 seasons."
7927,Where was the place of death of the director of film The Lion And The Mouse (1914 Film)?,The Lion and the Mouse is a lost 1914 silent film drama directed by Barry O'Neil and starring Ethel Clayton.
7928,"Which film was released more recently, Supertex or The Forbidden Path?","SuperTex is a 2003 English- language Dutch film directed by Jan Schütte and starring Stephen Mangan, Jan Decleir, Maureen Lipman, and Victor Löw."
7929,Who was born first out of Ange Nanizayamo and Aleh Shkabara?,Mickaël Ange Nanizayamo( born 8 May 1998) is a French footballer who plays for FC Lausanne- Sport as a defender.
7930,Who is Mary Fielding Smith's grandchild?,"Mary Fielding Smith Kimball (July 21, 1801 – September 21, 1852) was an early member of the Latter Day Saint movement, the second wife of Latter Day Saint leader Hyrum Smith, and the mother of Joseph F. Smith, who became president of The Church of Jesus Christ of Latter-day Saints (LDS Church)."
7931,What is the place of birth of the performer of song Deportee (Plane Wreck At Los Gatos)?,"""Deportee (Plane Wreck at Los Gatos)"" is a protest song with lyrics by Woody Guthrie and music by Martin Hoffman detailing the January 28, 1948 crash of a plane near Los Gatos Canyon, west of Coalinga in Fresno County, California, United States."
7932,"Which film has the director born earlier, Marriage In Name Only or Mille Chilometri Al Minuto!?","Marriage in Name Only is a 1930 German drama film directed by Heinz Paul and starring Evelyn Holt, Erika Dannhoff and Wolfgang Zilzer."
7933,Are both Inter (Band) and The Bell Notes from the same country?,Inter was a British band active in the late 1990s and closely associated with the post-Britpop pop punk scene.
7934,"Who is Henry De Beaumont, 5Th Earl Of Warwick's uncle?","Henry de Beaumont, 5th Earl of Warwick (c. 1192 – 10 October 1229), Earl of Warwick, and by marriage Lord of Hocknorton (Hook Norton) and Hedenton (Headington) in Oxfordshire, was the son of Waleran de Beaumont, 4th Earl of Warwick and Margaret."
7935,Where was the father of Hachiun born?,"(Modern Mongolian: Есүхэй баатар, ""Yesukhei baatar""), was a major chief of the Khamag Mongol confederation and the father of Temüjin, later known as Genghis Khan."
7936,Which country the director of film Third World California is from?,Otávio Juliano (born 1972 in São Paulo) is a Brazilian director and filmmaker.
7937,"Which film has the director who died later, The Vengeance Of Ursus or Edward And Caroline?","Edward and Caroline is a 1951 French comedy film directed by Jacques Becker, starring Daniel Gélin and Anne Vernon."
7938,Who is the paternal grandfather of Henri Cassini?,"He was the youngest of five children of Jacques Dominique, Comte de Cassini, famous for completing the map of France, who had succeeded his father as the director of the Paris Observatory."
7939,"Who lived longer, Jean Grémillon or Ángel Recasens?","Ángel Recasens( 4 March 1938 in Cambrils – 2 August 2007) was a Catalan organist, teacher, composer and musicologist best known as a choral conductor."
7940,Where was the place of death of the director of film Dinosaurus!?,"Before he died in a road accident in Amman, he was building a theme park called Jordanian Experience at the Aqaba Gateway in Jordan."
7941,What is the place of birth of the director of film Nell'S Eugenic Wedding?,"He was born in New York, New York and died in Hollywood, California from a heart attack, aged 54."
7942,Where was the father of Władysław I Herman born?,"Casimir I the Restorer (b. Kraków, 25 July 1016 – d. Poznań, 28 November 1058), was Duke of Poland of the Piast dynasty and the ""de jure"" monarch of the entire country from 1034 until his death."
7943,Are both Booker T. & The M.G.'S and The One (Band) from the same country?,Booker T.& the M.G.'s are an American instrumental R&B/ funk band that was influential in shaping the sound of Southern soul and Memphis soul.
7944,Who is the spouse of the director of film Bhagyada Bagilu?,"Bhagyada Bagilu is a 1968 Indian Kannada film, directed by K. S. L. Swamy (Ravi) and produced by B. H. Jayanna."
7945,"Which film has the director who was born first, Sidewalks Of New York (2001 Film) or America As Seen By A Frenchman?","Edward Fitzgerald Burns( born January 29, 1968) is an American actor, producer, writer, and director best known for appearing in several films including"" Saving Private Ryan""( 1998),"" 15 Minutes""( 2001),"" Life or Something Like It""( 2002),"" Confidence""( 2003),"" A Sound of Thunder""( 2005),"" The Holiday""( 2006),"" The Groomsmen""( 2006),"" One Missed Call""( 2008),"" 27 Dresses""( 2008),"" Man on a Ledge""( 2012),"" Friends with Kids""( 2012), and"" Alex Cross""( 2012)."
7946,Who is the stepmother of Sara Ali Khan?,"A member of the Pataudi family, she is the daughter of actors Amrita Singh and Saif Ali Khan and the paternal granddaughter of Mansoor Ali Khan Pataudi and Sharmila Tagore."
7947,"Which song was released first, Elastic Heart or Boom Boom Pow?","It is the second longest-running single to stay atop the Hot 100 in 2009, beaten only by The Black Eyed Peas' second single from ""The E.N.DI Gotta Feeling"", which held the top spot for 14 consecutive weeks."
7948,Where did the director of film Varsity Show (Film) die?,"Varsity Show is a 1937 American musical film directed by William Keighley from a script by Jerry Wald, Richard Macaulay, Warren Duff and Sig Herzig and starring Dick Powell, Fred Waring and Waring's Pennsylvanians, Ted Healy, and Priscilla Lane."
